source_row,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,old_domain,new_domain_offset,new_domain,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
0,42,52,54,54,43,53,55,56,0,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,1,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,2,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,3,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,4,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,5,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,6,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,7,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,8,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,9,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,10,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,11,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,12,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,13,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,14,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,15,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,16,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,17,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,55,56,18,0,252,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
