source_index,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
0,40,49,51,53,41,51,52,53,720,20,240 243 244 245 241 242,0,52,53,53,182,182,51,51,1
0,40,49,51,53,41,51,53,52,720,0,,3,54,53,53,180,180,50,50,1
1,40,49,52,52,41,51,52,53,720,54,241 243 240 245 242 244,0,52,53,53,182,182,51,51,1
1,40,49,52,52,41,51,53,52,720,20,240 243 244 245 241 242,0,53,52,52,182,182,51,51,1
2,40,49,53,51,41,51,52,53,720,0,,2,54,53,53,180,180,50,50,1
2,40,49,53,51,41,51,53,52,720,54,241 243 240 245 242 244,0,53,52,52,182,182,51,51,1
3,40,50,51,51,41,51,52,53,720,114,240 242 243 245 241 244,0,52,53,53,182,182,51,51,1
3,40,50,51,51,41,51,53,52,720,130,240 241 243 245 242 244,0,53,52,52,182,182,51,51,1
