k,r,j,h,E,count
2,12,11,10,64,55006749341529263308800
2,12,11,12,68,1988616672221921280000
2,13,7,0,28,220619610731520
2,13,7,2,32,204277417344000
2,13,8,0,32,72755444961239040
2,13,7,4,36,72631970611200
2,13,8,2,36,113719876385955840
2,13,9,0,36,8352485701965250560
2,13,7,6,40,13114105804800
2,13,8,4,40,59758760842260480
2,13,9,2,40,23055318790680084480
2,13,10,0,40,504205083721720922112
2,13,7,8,44,1288993305600
2,13,8,6,44,14199360953057280
2,13,9,4,44,20855141888198492160
2,13,10,2,44,2562461908549909217280
2,13,11,0,44,17750314003419145175040
2,13,7,10,48,66006420480
2,13,8,8,48,1669775904276480
2,13,9,6,48,7631169234607226880
2,13,10,4,48,4515431661575886864384
2,13,11,2,48,168990991489540738252800
2,13,12,0,48,309843449028821385216000
2,13,7,12,52,1383782400
2,13,8,10,52,93782684835840
2,13,9,8,52,1245255400211496960
2,13,10,6,52,3168843304921458278400
2,13,11,4,52,596487354662299490058240
2,13,12,2,52,5416859713187262077337600
2,13,8,12,56,1964417495040
2,13,9,10,56,89817386696294400
2,13,10,8,56,866120952775094894592
2,13,11,6,56,895871848895788264980480
2,13,12,4,56,36452198266948571627520000
2,13,9,12,60,2282924034293760
2,13,10,10,60,92963234753905950720
2,13,11,8,60,532021093818808726978560
2,13,12,6,60,111325039768708937102131200
2,13,10,12,64,3275665847513579520
2,13,11,10,64,104585314030923703910400
2,13,12,8,64,149074500174964651877990400
2,13,11,12,68,5799644584906103193600
2,13,12,10,68,73928562564097307049984000
2,13,12,12,72,8664711525338893516800000
2,14,7,0,28,82732354024320
2,14,7,2,32,64347386463360
2,14,8,0,32,94204573782359040
2,14,7,4,36,21449128821120
2,14,8,2,36,117569824778165760
2,14,9,0,36,20998182336784773120
2,14,7,6,40,3972060892800
2,14,8,4,40,53825132354273280
2,14,9,2,40,43652300971534295040
2,14,10,0,40,2129906198915617554432
2,14,7,8,44,441340099200
2,14,8,6,44,12192167353766400
2,14,9,4,44,30764931398168647680
2,14,10,2,44,7710194633339886944256
2,14,11,0,44,125473592002661313675264
2,14,7,10,48,29422673280
2,14,8,8,48,1496633314176000
2,14,9,6,48,9668609739017349120
2,14,10,4,48,9580281553694408933376
2,14,11,2,48,819673576157818778812416
2,14,12,0,48,4505431916317980182446080
2,14,7,12,52,1089728640
2,14,8,10,52,98806422274560
2,14,9,8,52,1511867021845340160
2,14,10,6,52,4935366828881129152512
2,14,11,4,52,1958360355412009550217216
2,14,12,2,52,53621130645308119567564800
2,14,13,0,52,81566287956837229658112000
2,14,7,14,56,17297280
2,14,8,12,56,3110650583040
2,14,9,10,56,118474418495713280
2,14,10,8,56,1131895423688045592576
2,14,11,6,56,1985142763743953054072832
2,14,12,4,56,246962748059173856603013120
2,14,13,2,56,1725885779028823111001702400
2,14,8,14,60,30512401920
2,14,9,12,60,4146577302067200
2,14,10,10,60,119781219565143392256
2,14,11,8,60,825447688427564826624000
2,14,12,6,60,513956967612665882314014720
2,14,13,4,60,14518004194175217531302707200
2,14,9,14,64,41584044902400
2,14,10,12,64,5367330009173164032
2,14,11,10,64,136498601958256884842496
2,14,12,8,64,461871255752345488101212160
2,14,13,6,64,58039024253640113517074841600
2,14,10,14,68,67935252626841600
2,14,11,12,68,8686744282972152004608
2,14,12,10,68,154610617400895008365608960
2,14,13,8,68,109226578453160490775137484800
2,14,11,14,72,149374157538557952000
2,14,12,12,72,15912777555835345384243200
2,14,13,10,72,86329854297099506301272064000
2,14,12,14,76,375574609180824109056000
2,14,13,12,76,21714252836264683128225792000
2,14,13,14,80,725924630027890144051200000
2,15,8,0,32,69495177380428800
2,15,8,2,36,72069072838963200
2,15,9,0,36,35346791552961208320
2,15,8,4,40,30028780349568000
2,15,9,2,40,58084240847592960000
2,15,10,0,40,6215201542494469324800
2,15,8,6,44,6673062299904000
2,15,9,4,44,34323207349130219520
2,15,10,2,44,16838937670396236595200
2,15,11,0,44,582593291203361333575680
2,15,8,8,48,865026594432000
2,15,9,6,48,9847230508046131200
2,15,10,4,48,15827024189498967244800
2,15,11,2,48,2713837851912300564971520
2,15,12,0,48,33986658760015967246352384
2,15,8,10,52,65906788147200
2,15,9,8,52,1524949171870924800
2,15,10,6,52,6606528825778340659200
2,15,11,4,52,4547637639790244515676160
2,15,12,2,52,280287602470088196394844160
2,15,13,0,52,1247956836801022446041825280
2,15,8,12,56,2746116172800
2,15,9,10,56,129494087431188480
2,15,10,8,56,1370645904905935257600
2,15,11,6,56,3281075271839908106403840
2,15,12,4,56,885710780878622240960151552
2,15,13,2,56,18268537626557789800885125120
2,15,14,0,56,23375938525041822523195392000
2,15,8,14,60,48432384000
2,15,9,12,60,5607705911808000
2,15,10,10,60,146135397525672755200
2,15,11,8,60,1059054131727538104238080
2,15,12,6,60,1257902939652960496157982720
2,15,13,4,60,107304530994547709020093808640
2,15,14,2,60,590772518359008872811724800000
2,15,9,14,64,94710495559680
2,15,10,12,64,7551724647359692800
2,15,11,10,64,160246083971867505131520
2,15,12,8,64,778860993495440594975588352
2,15,13,6,64,299279397239998054201106104320
2,15,14,4,64,6101966203344973623019438080000
2,15,10,14,68,146124166783795200
2,15,11,12,68,11049756575024937369600
2,15,12,10,68,196801511751049114704936960
2,15,13,8,68,387328404436161029640762163200
2,15,14,6,68,31122805829067628310868000768000
2,15,11,14,72,275595178104697651200
2,15,12,12,72,20234004618301076402601984
2,15,13,10,72,207200297918003849774235648000
2,15,14,8,72,79061830611265574014159945728000
2,15,12,14,76,702896613607865843712000
2,15,13,12,76,37966916682768368760457789440
2,15,14,10,76,92491492275041387256553144320000
2,15,13,14,80,2032827387437788182872064000
2,15,14,12,80,41347949104612137592966820659200
2,15,14,14,84,4469069532100466957510246400000
2,16,8,0,32,22337735586566400
2,16,8,2,36,19855764965836800
2,16,9,0,36,38361337913996697600
2,16,8,4,40,7721686375603200
2,16,9,2,40,51858845698551091200
2,16,10,0,40,12728551368526324531200
2,16,8,6,44,1715930305689600
2,16,9,4,44,27069372549022003200
2,16,10,2,44,27024694299675994521600
2,16,11,0,44,1917600495253007131607040
2,16,8,8,48,238323653568000
2,16,9,6,48,7348884628448563200
2,16,10,4,48,20606156323332778598400
2,16,11,2,48,6656223560257408437780480
2,16,12,0,48,170921623097236199555727360
2,16,8,10,52,21184324761600
2,16,9,8,52,1150379448970752000
2,16,10,6,52,7517318897305715097600
2,16,11,4,52,8271427855320692962099200
2,16,12,2,52,1007866440585147454240849920
2,16,13,0,52,9968914608995394281055191040
2,16,8,12,56,1176906931200
2,16,9,10,56,106390817371238400
2,16,10,8,56,1474140787443381657600
2,16,11,6,56,4607643062069373206200320
2,16,12,4,56,2236110064177420419952803840
2,16,13,2,56,102169573484515660368791470080
2,16,14,0,56,374778983752381121143033036800
2,16,8,14,60,37362124800
2,16,9,12,60,5592836093644800
2,16,10,10,60,161037947711383142400
2,16,11,8,60,1267466178338522384302080
2,16,12,6,60,2232129020031268126206197760
2,16,13,4,60,417787321885032021086447861760
2,16,14,2,60,6653712498767694878189027328000
2,16,15,0,60,7246540942762964982190571520000
2,16,8,16,64,518918400
2,16,9,14,64,145742729932800
2,16,10,12,64,9484648745155584000
2,16,11,10,64,181520407403727750758400
2,16,12,8,64,1017909498033560744298086400
2,16,13,6,64,807702073470920649251629301760
2,16,14,4,64,48882315307436954946368962560000
2,16,15,2,64,216237732430350049687212392448000
2,16,9,16,68,1220496076800
2,16,10,14,68,262234857159475200
2,16,11,12,68,13345658967336073297920
2,16,12,10,68,216912002533193687594434560
2,16,13,8,68,723140842233715329594241843200
2,16,14,6,68,177732727486905716307164292710400
2,16,15,4,68,2701025382577269073567845187584000
2,16,10,16,72,2149816660992000
2,16,11,14,72,446245775597704642560
2,16,12,12,72,21982255053114057953771520
2,16,13,10,72,277097892932771331707035975680
2,16,14,8,72,318078989740174802522426730086400
2,16,15,6,72,17208611805561266093772112920576000
2,16,11,16,76,4430693677842432000
2,16,12,14,76,969520130395244542033920
2,16,13,12,76,43599975114665565887036129280
2,16,14,10,76,256582117562591995057692632678400
2,16,15,8,76,57171444357392757145320315420672000
2,16,12,16,80,12687231088866926592000
2,16,13,14,80,2705546161042180970486169600
2,16,14,12,80,79447660327857779062082843443200
2,16,15,10,80,93877183209004395204592369926144000
2,16,13,16,84,46800579195606098903040000
2,16,14,14,84,7805271501401864759295344640000
2,16,15,12,84,66770910994248647062789942149120000
2,16,14,16,88,178510989829271873008435200000
2,16,15,14,88,15452819346240605243924545536000000
2,16,15,16,92,483696391422230753983856640000000
2,17,9,0,36,24303456318184243200
2,17,9,2,40,27903968365322649600
2,17,10,0,40,18025603512793717800960
2,17,9,4,44,13301891729705779200
2,17,10,2,44,31196996683635436093440
2,17,11,0,44,4581349136971662517862400
2,17,9,6,48,3500497823606784000
2,17,10,4,48,20416832470519774248960
2,17,11,2,48,12371530084909058359296000
2,17,12,0,48,621631389042830533271224320
2,17,9,8,52,561808292677632000
2,17,10,6,52,6822499260962508963840
2,17,11,4,52,12140703835711443940147200
2,17,12,2,52,2724080591858468648606760960
2,17,13,0,52,53699402624536665336443830272
2,17,9,10,56,56661007295692800
2,17,10,8,56,1303151521986374860800
2,17,11,6,56,5656057474472174459289600
2,17,12,4,56,4428370313384455389377986560
2,17,13,2,56,395094539051688355985608409088
2,17,14,0,56,3151267403157744532137286041600
2,17,9,12,60,3521305538150400
2,17,10,10,60,147700001256702935040
2,17,11,8,60,1408096125975796088832000
2,17,12,6,60,3297950542577135656941649920
2,17,13,4,60,1140224946840696028231448395776
2,17,14,2,60,39584076973949582733757529456640
2,17,15,0,60,121340311474923819380774220595200
2,17,9,14,64,123643725004800
2,17,10,12,64,9758059584581468160
2,17,11,10,64,196887924736502346547200
2,17,12,8,64,1208718609389695428077813760
2,17,13,6,64,1548558993869997211749527322624
2,17,14,4,64,205469662911613812767543179345920
2,17,15,2,64,2580518668478859661256790795878400
2,17,16,0,64,2416530705965586638271550586880000
2,17,9,16,68,1881944064000
2,17,10,14,68,342951651843440640
2,17,11,12,68,15344547854493777920000
2,17,12,10,68,231145965736931549050306560
2,17,13,8,68,994348699813798129142423617536
2,17,14,6,68,526828496288607071094571133829120
2,17,15,4,68,23319244508695755329124508159180800
2,17,16,2,68,84285165622939792950382987051008000
2,17,10,16,72,4846834020188160
2,17,11,14,72,612648811327743590400
2,17,12,12,72,23353780494964893123870720
2,17,13,10,72,298573518011311767442616745984
2,17,14,8,72,661021906593832706673838475182080
2,17,15,6,72,108000412409926813178083615860326400
2,17,16,4,72,1256619476596428406890422712926208000
2,17,11,16,76,9517707775947571200
2,17,12,14,76,1166937886361245424025600
2,17,13,12,76,43269673316144857232003039232
2,17,14,10,76,376216138189333811630106161971200
2,17,15,8,76,258508174189873051790165210981990400
2,17,16,6,76,9824756761722980281430049690746880000
2,17,12,16,80,22291072634947711795200
2,17,13,14,80,2924166223920852566066331648
2,17,14,12,80,89854027687511382867617733672960
2,17,15,10,80,299435526525980389172890174488576000
2,17,16,8,80,41612685686229575766899466568728576000
2,17,13,16,84,73133680269266643949977600
2,17,14,14,84,8950770591929976337135168389120
2,17,15,12,84,147402212641206907333304380922265600
2,17,16,10,84,92137107359563304251168423145373696000
2,17,14,16,88,307492859392462740950876160000
2,17,15,14,88,25511092960564094397370568854732800
2,17,16,12,88,96861014985477458113005094139068416000
2,17,15,16,92,1324197154973156832305416765440000
2,17,16,14,92,39767173865300636083805157297487872000
2,17,16,16,96,4014826358596173785496356388864000000
2,18,9,0,36,6835347089489318400
2,18,9,2,40,6835347089489318400
2,18,10,0,40,16842295228501680537600
2,18,9,4,44,3037932039773030400
2,18,10,2,44,24542440305313054924800
2,18,11,0,44,7923976669041008842506240
2,18,9,6,48,787612010311526400
2,18,10,4,48,14345040081140600832000
2,18,11,2,48,17298832955054736192307200
2,18,12,0,48,1683187382002015400279408640
2,18,9,8,52,131268668385254400
2,18,10,6,52,4522643188099964928000
2,18,11,4,52,14189983289725331226378240
2,18,12,2,52,5704254802459938129509744640
2,18,13,0,52,212497758253675739340613877760
2,18,9,10,56,14585407598361600
