k,r,j,h,E,count
2,20,18,6,84,28330015615390712100602832151567517142220800
2,20,19,4,84,167334617723036476105687810417768834007040000
2,20,12,20,88,6803436687151104000
2,20,13,18,88,2977564015077769785507840
2,20,14,16,88,365510616616397827357861478400
2,20,15,14,88,18670982287278925715408156822077440
2,20,16,12,88,316263796617895429670106273861844598784
2,20,17,10,88,747312034396010040376399737197321949020160
2,20,18,8,88,139841797504209650836109006136594074173440000
2,20,19,6,88,2225799964420336458571640928292646682624000000
2,20,13,20,92,20172407000796610560000
2,20,14,18,92,9707386425421460963681894400
2,20,15,16,92,1324007595263925910902433067827200
2,20,16,14,92,62375626879135531629397074063466168320
2,20,17,12,92,571656719991878356267580252409775333048320
2,20,18,10,92,387145896896658995060381182429345831138099200
2,20,19,8,92,17441070536377052766411228973981293116129280000
2,20,14,20,96,83297015310487502684160000
2,20,15,18,96,44615074386245713451845130649600
2,20,16,16,96,6052667353640411368370915512518967296
2,20,17,14,96,195491423066358530807651015702741621145600
2,20,18,12,96,564052779606020336533215138574585048124620800
2,20,19,10,96,80204930071673792065873547065014325566504960000
2,20,15,20,100,490031460807871829613871104000
2,20,16,18,100,264533293770261465718707959365632000
2,20,17,16,100,28644170614707836958598268092253177118720
2,20,18,14,100,387736766839187398797191663673271023304704000
2,20,19,12,100,207909907008616853851861760131153157500698624000
2,20,16,20,104,3635620305006751810821763891200000
2,20,17,18,104,1704678343698505083648885526659858432000
2,20,18,16,104,106541276914173158411301496979699561555558400
2,20,19,14,104,280313982565609362183200420773851612567306240000
2,20,17,20,108,29091992400609040307594034413568000000
2,20,18,18,108,9729692532652326409875655107936717373440000
2,20,19,16,108,169900387700862442154433183772876740168253440000
2,20,18,20,112,209233358981445867302183022448607232000000
2,20,19,18,112,34503191058200857409872393693415356760064000000
2,20,19,20,116,971327718152259207554299130471566540800000000
2,21,11,0,44,3927317023736982779904000
2,21,11,2,48,5381878884380309735424000
2,21,12,0,48,5494054695073123110233702400
2,21,11,4,52,3200036093415319302144000
2,21,12,2,52,10543595285533645502860492800
2,21,13,0,52,2589106015162746831782648217600
2,21,11,6,56,1099002294708291477504000
2,21,12,4,56,8198242502180663421090201600
2,21,13,2,56,7141603013635387492277629747200
2,21,14,0,56,646264155156063529707983654092800
2,21,11,8,60,243025561901724585984000
2,21,12,6,60,3478689867786423197722214400
2,21,13,4,60,7676294268485764338714397900800
2,21,14,2,60,2644874800148220037524756312883200
2,21,15,0,60,103531730687505132329404650624122880
2,21,11,10,64,36314164422096777216000
2,21,12,8,64,906194956729045408756531200
2,21,13,6,64,4275768544815725310581106278400
2,21,14,4,64,4220871271027350948110885348966400
2,21,15,2,64,650045048572180229783615236850319360
2,21,16,0,64,11749459400981742332863846958833336320
2,21,11,12,68,3724529684317618176000
2,21,12,10,68,152979732085353031021363200
2,21,13,8,68,1393894282336261970337084211200
2,21,14,6,68,3374499984229721823127571791872000
2,21,15,4,68,1651867312165011512500807548146810880
2,21,16,2,68,116421296009383988796446422771527843840
2,21,17,0,68,987851815498202304717596594927441018880
2,21,11,14,72,259468999172038656000
2,21,12,12,72,17049393799287364318003200
2,21,13,10,72,282703641656295878356539801600
2,21,14,8,72,1496571781633310648310519457382400
2,21,15,6,72,2118915540426124926447778287688089600
2,21,16,4,72,492342448119705649304499918609580032000
2,21,17,2,72,15684002967273514897583612616157754818560
2,21,18,0,72,61206596948797941901598351353984529203200
2,21,11,16,76,11769163464554496000
2,21,12,14,76,1241419780082156529254400
2,21,13,12,76,36559713939440410833046732800
2,21,14,10,76,392758331450161797965787483340800
2,21,15,8,76,1449133414425455337631141470677237760
2,21,16,6,76,1092541487278246472765773300294546882560
2,21,17,4,76,111108677109185517489584187517282811904000
2,21,18,2,76,1552453374267459935448404756709738597580800
2,21,19,0,76,2581520855397294729487203696611545841664000
2,21,11,18,80,314249842722816000
2,21,12,16,80,56424798689293556121600
2,21,13,14,80,2996560962563101640766259200
2,21,14,12,80,63121719931222820075631437414400
2,21,15,10,80,547134756554429938231973478389514240
2,21,16,8,80,1300471628171109539718091103751194542080
2,21,17,6,80,429105704975490334656731982818384208199680
2,21,18,4,80,17984824634749842998340525154269506882764800
2,21,19,2,80,102451967615416729581363132834938231980032000
2,21,20,0,80,56772857028604305287384585670567238041600000
2,21,11,20,84,3754478407680000
2,21,12,18,84,1435549949151923404800
2,21,13,16,84,149145654564588495215001600
2,21,14,14,84,6233476320153864817000264499200
2,21,15,12,84,118972048490872969405991336961638400
2,21,16,10,84,811881170332679129224511950816951664640
2,21,17,8,84,918515117654581878009365193301006661713920
2,21,18,6,84,116306065781029153155621551868828278430105600
2,21,19,4,84,1864406005743598543195810189294492824109056000
2,21,20,2,84,3410034064615732218309494812506223741501440000
2,21,12,20,88,15270514937988710400
2,21,13,18,88,4047361024801441303756800
2,21,14,16,88,365429249564834625523915161600
2,21,15,14,88,15195244854150936437140884679557120
2,21,16,12,88,266014776821742041136537948879102935040
2,21,17,10,88,1043862061976890106359842438143963698298880
2,21,18,8,88,431023667758413647939229489327394601199206400
2,21,19,6,88,19164546376523698865111660674154864830316544000
2,21,20,4,88,93237191124978312896963017627692216059166720000
2,21,13,20,92,44710010198446886092800
2,21,14,18,92,11512190216796907860865843200
2,21,15,16,92,1117807899176522330708818148720640
2,21,16,14,92,47406190326130014724366630180261724160
2,21,17,12,92,592862304627276616357642098382878183260160
2,21,18,10,92,886135327236196979084393669582764148313292800
2,21,19,8,92,115989285475913316311886344226200368371990528000
2,21,20,6,92,1448498915191857099245860120796068694804398080000
2,21,14,20,96,147069586846076374351872000
2,21,15,18,96,43435537418239038041787853701120
2,21,16,16,96,4612764065558543946143131876605296640
2,21,17,14,96,163606972259645669790242930614703027650560
2,21,18,12,96,944155408490009591249565858530485932864307200
2,21,19,10,96,407522913904216488206514673030693881353601024000
2,21,20,8,96,13537573071654254739421774239311168957432463360000
2,21,15,20,100,681927428758098643189235712000
2,21,16,18,100,229027899856289796529428388632330240
2,21,17,16,100,22511709612417189306258850188679824015360
2,21,18,14,100,474899991847786860067413104626293257797632000
2,21,19,12,100,790762306304420094103648759428180821321711616000
2,21,20,10,100,76319527737740182380599414210824719710677893120000
2,21,16,20,104,4504367462879843855476910456832000
2,21,17,18,104,1485478166272321785954984506543623372800
2,21,18,16,104,104203779735051668574838990588008112481894400
2,21,19,14,104,776195946788210815315523662295225843318784000000
2,21,20,12,104,251867901794051120186646006662732095906318909440000
2,21,17,20,108,37270165918722810249567011403202560000
2,21,18,18,108,9859393882078292680343346487462006358016000
2,21,19,16,108,335820135590146736889780519757138939990769664000
2,21,20,14,108,457035211395786879696975865267959153155270246400000
2,21,18,20,112,330189244291408113527792105927422771200000
2,21,19,18,112,53127159274480644208633675763135311301836800000
2,21,20,16,112,408423929277580705259418500007663400570186629120000
2,21,19,20,116,2612330925982458884263179345960269512704000000
2,21,20,18,116,146672900358050951874390323481382923132941107200000
2,21,20,20,120,13264684518747469611529165432182291195494400000000
2,22,11,0,44,883646330340821125478400
2,22,11,2,48,1080012181527670264473600
2,22,12,0,48,4017645315282933383841792000
2,22,11,4,52,600006767515372369152000
2,22,12,2,52,6712875714961986066072576000
2,22,13,0,52,3420476339775201719846933299200
2,22,11,6,56,200002255838457456384000
2,22,12,4,56,4740320133045892992909312000
2,22,13,2,56,7978004864435983087664322969600
2,22,14,0,56,1297557922024232708525238418145280
2,22,11,8,60,44444945741879434752000
2,22,12,6,60,1897058434082553873331200000
2,22,13,4,60,7463735881740442311496615526400
2,22,14,2,60,4341989935549676669416911281848320
2,22,15,0,60,291292725437924206177095772431974400
2,22,11,10,64,6913658226514578739200
2,22,12,8,64,482388979991343873896448000
2,22,13,6,64,3762890264545319273760659865600
2,22,14,4,64,5706094615793298274214381994639360
2,22,15,2,64,1443515429092086736374989101989888000
2,22,16,0,64,44477469633568922306023551685770608640
2,22,11,12,68,768184247390508748800
2,22,12,10,68,82200835699100372846592000
2,22,13,8,68,1153988670908989091002053427200
2,22,14,6,68,3870865658801956660718327479664640
2,22,15,4,68,2855172725612123989518527915202969600
2,22,16,2,68,336871635571551227680463521105387192320
2,22,17,0,68,4976760609831276988433133764540941467648
2,22,11,14,72,60967003761151488000
2,22,12,12,72,9584663305959799529472000
2,22,13,10,72,228403235611921112180018380800
2,22,14,8,72,1524827847406081262545578602004480
2,22,15,6,72,2868943656185168431102928398319616000
2,22,16,4,72,1065156802668978865584994741347585884160
2,22,17,2,72,59047030744261179494689789185252950802432
2,22,18,0,72,420881178614974283796544830673743658352640
2,22,11,16,76,3387055764508416000
2,22,12,14,76,762069482716982888448000
2,22,13,12,76,29914401671352728702690918400
2,22,14,10,76,372150403795103277318375384023040
2,22,15,8,76,1596414656746425358720887871596134400
2,22,16,6,76,1751705054283225870235352072051868303360
2,22,17,4,76,308027933396799290743549551356278223142912
2,22,18,2,76,7907723734818304062729402643043231308185600
2,22,19,0,76,26511826187031911857770272649639453995827200
2,22,11,18,80,125446509796608000
2,22,12,16,80,40107758112171509760000
2,22,13,14,80,2589410980966991697189273600
2,22,14,12,80,58092719088229505757111653498880
2,22,15,10,80,521604684477890579995655890599936000
2,22,16,8,80,1565400424042550067128531399495060029440
2,22,17,6,80,870849182403848595289779193961979416936448
2,22,18,4,80,67884311637915554668724090395475826274467840
2,22,19,2,80,783675124628681751163913502889058287956787200
2,22,20,0,80,1141594632723515726032865987117833431023616000
2,22,11,20,84,2787700217702400
2,22,12,18,84,1302915327749747712000
2,22,13,16,84,143825102065037042992742400
2,22,14,14,84,5827187630850473593697733181440
2,22,15,12,84,104202960799966281964734220586188800
2,22,16,10,84,770442860918829102545915935249882152960
2,22,17,8,84,1364687169261884582736816662815431299432448
2,22,18,6,84,326329810706862087831930704149431071727943680
2,22,19,4,84,10769247703150318812806079640299785578925260800
2,22,20,2,84,51913401900915242078886108302345091560767488000
2,22,21,0,84,25632944948414843837254140430261107975782400000
2,22,11,22,88,28158588057600
2,22,12,20,88,22351160856600576000
2,22,13,18,88,4766663129965546998988800
2,22,14,16,88,366449684733969011034984284160
2,22,15,14,88,12928506985259379147555302552371200
2,22,16,12,88,215989903084374476874767605874357698560
2,22,17,10,88,1149946647399952627232914881949951435210752
2,22,18,8,88,897885447631445814068294594650752353619148800
2,22,19,6,88,84372100262356564660179780069461832208534732800
2,22,20,4,88,1097573935451266835166182052677813163389878272000
2,22,21,2,88,1735248446938689165502623666446557440292945920000
2,22,12,22,92,130092676826112000
2,22,13,20,92,79892217337762013184000
2,22,14,18,92,13495209266025592298439966720
2,22,15,16,92,981811387066686360770806559539200
2,22,16,14,92,35582450180471457752925568044493701120
2,22,17,12,92,508749006011293368989220129082251675697152
2,22,18,10,92,1362879143613259656296737541104184318628986880
2,22,19,8,92,389187057604517067881140036495017616748209766400
2,22,20,6,92,13335329832442591979999387760536227393900118016000
2,22,21,4,92,54119148160170041399445833192840601938291589120000
2,22,13,22,96,417485984603111424000
2,22,14,20,96,248244429416569886531911680
2,22,15,18,96,43061873412177875151804786278400
2,22,16,16,96,3453087761193462605899430956357386240
2,22,17,14,96,120920357574674767771273205834275344089088
2,22,18,12,96,1073242166977042795302959507258773520347299840
2,22,19,10,96,1032261483818236510145119032076929039168071270400
2,22,20,8,96,97541529190521977674431142016486834742415589376000
2,22,21,6,96,973357165399762850326718858813749472908856524800000
2,22,14,22,100,1438608531482560069632000
2,22,15,20,100,943919468391897600902627328000
2,22,16,18,100,189037795291713787270112460354355200
2,22,17,16,100,15828106757852195210783927354973663264768
2,22,18,14,100,415961242502019937202620206402770180788715520
2,22,19,12,100,1487582128399133551542082011802535789660523724800
2,22,20,10,100,426596995724291595347825944230204912093464887296000
2,22,21,8,100,10728297008887298210884208254712037964363207802880000
2,22,15,22,104,6820302660067917866926080000
2,22,16,20,104,5131627461736107314015427467673600
2,22,17,18,104,1116271184261691119815339384630098788352
2,22,18,16,104,79781008232419304097044946099957097813770240
2,22,19,14,104,1070516723666772188561539654189187462640697344000
2,22,20,12,104,1073022184688280460606605276179989961272480235520000
2,22,21,10,104,73047364256818603744392064290008052992170115727360000
2,22,16,22,108,47115939538798035949693698048000
2,22,17,20,108,37913029943975698814176925903015116800
2,22,18,18,108,7609145687129447459893728763085744473374720
2,22,19,16,108,349922834953638523124405204846371545252731289600
2,22,20,14,108,1446293467430694709706621416803265526056165048320000
2,22,21,12,108,300589355350825721896686617451154543957871658270720000
2,22,17,22,112,430692153144411011607628716441600000
2,22,18,20,112,329962064678421474422982544160049856512000
2,22,19,18,112,49810347086846773723635934691996021603853926400
2,22,20,16,112,933639063183488628463880382714097828683759747072000
2,22,21,14,112,711592267381052651405168391169772164418275198894080000
2,22,18,22,116,4557766771521718876953133805312409600000
2,22,19,20,116,2907766118166032842353186547857326887403520000
2,22,20,18,116,244591003836747840235745688053710876807016742912000
2,22,21,16,116,889658653883576148249468718786191236173648751493120000
2,22,19,22,120,48937159158341848602700384146171101184000000
2,22,20,20,120,21677998674564626479459770481178651439346483200000
2,22,21,18,120,506173731661583525118664685043222054781085496115200000
2,22,20,22,124,453017242012754366239894922933534101340160000000
2,22,21,20,124,97490370023093812804328419987418443022881259520000000
2,22,21,22,128,2626750567972775462493701394283217282924544000000000
2,23,12,0,48,1788500172609821957968281600
2,23,12,2,52,2649629885347884382175232000
2,23,13,0,52,3286070983808446210773722726400
2,23,12,4,56,1729619508490980082808832000
2,23,13,2,56,6630345504098367615142561382400
2,23,14,0,56,2018671855268350455577660922265600
2,23,12,6,60,662407471336971095543808000
2,23,13,4,60,5554340621102611574520392908800
2,23,14,2,60,5674738872217558133441551977676800
2,23,15,0,60,653388505405643505170768523606097920
2,23,12,8,64,166283357002284925218816000
2,23,13,6,64,2598276253945864334217235660800
2,23,14,4,64,6383011456185251241864073877913600
2,23,15,2,64,2632174236853656609656894470697779200
2,23,16,0,64,135461715248657973041743402054535086080
2,23,12,10,68,28834563910050136394956800
2,23,13,8,68,764162681994431179393322188800
2,23,14,6,68,3834059627525420962299801423052800
2,23,15,4,68,4221393455468005096100067105979760640
2,23,16,2,68,806763896910187379914459506911823790080
2,23,17,0,68,19975488244756634890981456724160644382720
2,23,12,12,72,3533647537996340244480000
2,23,13,10,72,149676200751427026634653696000
2,23,14,8,72,1389388294090205099274617723289600
2,23,15,6,72,3503568660233487615176032867162521600
2,23,16,4,72,1967962875230472075980542824181105950720
2,23,17,2,72,181102344282817565700597822682716658728960
2,23,18,0,72,2217834096822307318885509451745133059899392
2,23,12,14,76,306623384249417883648000
2,23,13,12,76,20032646337109240910659584000
2,23,14,10,76,323551654025292863288505689702400
2,23,15,8,76,1677692488448628356099634205525278720
2,23,16,6,76,2488807291688922263604497229601591787520
2,23,17,4,76,706417325528741010243202278007806634229760
2,23,18,2,76,31256440777253617993582285041517859124019200
2,23,19,0,76,189125886627183243222345225090367045081497600
2,23,12,16,80,18488808399863273472000
2,23,13,14,80,1837040837908632932627251200
2,23,14,12,80,49921433438640973560501947596800
2,23,15,10,80,494897080728734942913472202570465280
2,23,16,8,80,1752712852808177169496377913418144808960
2,23,17,6,80,1477944590560751691604294734827726391214080
2,23,18,4,80,198995583345702850881124647406261755589951488
2,23,19,2,80,4171585274698955360348836213375271654475694080
2,23,20,0,80,12114239048613246073785651597620027118845952000
2,23,12,18,84,738629049682427904000
2,23,13,16,84,113116890325701450527539200
2,23,14,14,84,5135801260916373919365228134400
2,23,15,12,84,93371329316315011352896572280012800
2,23,16,10,84,718875492763312144941269800736973127680
2,23,17,8,84,1722269035271480389460153844522722556641280
2,23,18,6,84,707020336237851188683209074675953978709114880
2,23,19,4,84,42930910099616342589595578483240601141137899520
2,23,20,2,84,414222200367414962386680619968789277463229235200
2,23,21,0,84,532051023159785562199252545403686964502200320000
2,23,12,20,88,17610831508631961600
2,23,13,18,88,4439900813444576531251200
2,23,14,16,88,346081567358472541590926131200
2,23,15,14,88,11418815291943319163617043137167360
2,23,16,12,88,179153121160670261935673916697671106560
2,23,17,10,88,1113197745011276729506494895755117440532480
2,23,18,8,88,1436724644069800197706000077366039582974410752
2,23,19,6,88,253267716025071075693525062614623973286420152320
2,23,20,4,88,6687954770841980795949749869463130819003206860800
2,23,21,2,88,27544155543260486540742961005701049719797579776000
2,23,22,0,88,12180775439486733791463167532460078510091796480000
2,23,12,22,92,189976607428608000
2,23,13,20,92,99165990632516385177600
2,23,14,18,92,14518602401025192416929382400
2,23,15,16,92,894736502432409666836548655513600
2,23,16,14,92,27817724289269705057922017169160273920
2,23,17,12,92,404864870144183653613130248684837095342080
2,23,18,10,92,1616928068779682191476153207572565386424483840
2,23,19,8,92,879771720031576807754742027166958492696728043520
2,23,20,6,92,62709362390679802258222827924751164395145815654400
2,23,21,4,92,671224505142851308962347846560314898137690931200000
2,23,22,2,92,924412236407711737103984150155576364874753638400000
2,23,13,22,96,938332459411380633600
2,23,14,20,96,338456097338639055519744000
2,23,15,18,96,42936391715327835368326724321280
2,23,16,16,96,2690455567795423570912285537043742720
2,23,17,14,96,85923176967791027194016748766427778908160
2,23,18,12,96,968529292220718090486412853993430492798517248
2,23,19,10,96,1746037154286144956840160823362415538958709555200
2,23,20,8,96,354441737817433829104139108567291925725288438169600
2,23,21,6,96,9544743633412335002375993966426367652488516993024000
2,23,22,4,96,32675827883435519117920494566116385988686244741120000
2,23,14,22,100,3257691768093647595110400
2,23,15,20,100,1133332802476405278872489164800
2,23,16,18,100,156482078097932038621109163424481280
2,23,17,16,100,10831972564794694789687391521818500136960
2,23,18,14,100,307916654234133439105411143826274022315786240
2,23,19,12,100,1870029184229798190609704638321422645239406919680
2,23,20,10,100,1188300221475260703753178841862314416151826373017600
2,23,21,8,100,83322089943116849987152113329160948695258665844736000
2,23,22,6,100,675020691807131922644689645882243969429639947878400000
2,23,15,22,104,12338421803925324443733196800
2,23,16,20,104,4963499366353488124874069303623680
2,23,17,18,104,795211053112175542349684540800027852800
2,23,18,16,104,53795364566762997157058146993633173839020032
2,23,19,14,104,1014088163103418033046600891482401049100534415360
2,23,20,12,104,2255742963732831105895258439804559854920617531801600
2,23,21,10,104,446169863370497530596827586733862945600645445451776000
2,23,22,8,104,8687672478064939303939695423775275603896043904696320000
2,23,16,22,108,65138208896382930511633317888000
2,23,17,20,108,31208730536772601395493171929148293120
2,23,18,18,108,5179989585334072927154764426240891897774080
2,23,19,16,108,270837643757433419798800083106311621641848750080
2,23,20,14,108,2253587224337615328140400323077386799532531829964800
2,23,21,12,108,1422173901819695609730952428312327533633818507345920000
2,23,22,10,108,70527969946047002588804673066657510449323800872878080000
2,23,17,22,112,502057806821771648113864712650752000
2,23,18,20,112,256825317863308050234757954643625970237440
2,23,19,18,112,36477110854805171859639955543932643674842726400
2,23,20,16,112,1078200530873899489585518677261623922293869222297600
2,23,21,14,112,2548639205560071646531478875404174240385693170794496000
2,23,22,12,112,355617033957501356043880723065080541595932547413442560000
2,23,18,22,116,5092037950397198493704341352286781440000
2,23,19,20,116,2377555954221401198176516991770619843444736000
2,23,20,18,116,228562438145708728905256619677082846965807448064000
2,23,21,16,116,2343674565514658360709950146783853264200984701173760000
2,23,22,14,116,1071064270267532522849736133715502760269999431001047040000
2,23,19,22,120,59392026270524469927196438591605194096640000
2,23,20,20,120,21147052242646506032928072306486233046479536128000
2,23,21,18,120,962666853718718205136233886206283508523708847226880000
2,23,22,16,120,1800707093885209465619239562602497608922806621181050880000
2,23,20,22,124,698708476196021022532236361625368253379379200000
2,23,21,20,124,146832231077274926113993347409813201310551753359360000
2,23,22,18,124,1508895845491217329210908907438643099916971865538560000000
2,23,21,22,128,7049964270966859024180045470625567195791360000000000
2,23,22,20,128,513218294465860423859244070288634010925327762587648000000
2,23,22,22,132,44347004424588159067558257538609472190164238336000000000
2,24,12,0,48,365829580761099945948057600
2,24,12,2,52,487772774348133261264076800
2,24,13,0,52,2167662209203104213057557299200
2,24,12,4,56,298083362101636992994713600
2,24,13,2,56,3855608927663973958722288844800
2,24,14,0,56,2385916462267026006232342639411200
2,24,12,6,60,110401245222828515923968000
2,24,13,4,60,2952585622405355540339390054400
2,24,14,2,60,5766131268889775540463508055654400
2,24,15,0,60,1162871061319194367829584588984811520
2,24,12,8,64,27600311305707128980992000
2,24,13,6,64,1303985907741901877749960704000
2,24,14,4,64,5725286134914851704137586404556800
2,24,15,2,64,3911331324941172337463853174486466560
2,24,16,0,64,334014276259162659786812788271260631040
2,24,12,10,68,4906722009903489596620800
2,24,13,8,68,372788204702417622103265280000
2,24,14,6,68,3137539483358407660265702748979200
2,24,15,4,68,5285207132075449158890658495080693760
2,24,16,2,68,1608862259876847469919334685315600220160
2,24,17,0,68,65200665662780523092094998467863788912640
2,24,12,12,72,636056556839341244006400
2,24,13,10,72,72987913935018967310563737600
2,24,14,8,72,1071284642524105364296519203225600
2,24,15,6,72,3795242551539520412074390442653777920
2,24,16,4,72,3141210329211478543930310876723738050560
2,24,17,2,72,463494727492911514360123342007127276257280
2,24,18,0,72,9378418016393757895794248810900128102612992
2,24,12,14,76,60576814937080118476800
2,24,13,12,76,10049976289864631362520678400
2,24,14,10,76,242324906321946565517843732889600
2,24,15,8,76,1631899633869485866177094935691919360
2,24,16,6,76,3203177300632304976356685929026336849920
2,24,17,4,76,1386617905065018896491428462257636628234240
2,24,18,2,76,101053806235681511110997429909251552702365696
2,24,19,0,76,1038185032393934293293470275077434951759560704
2,24,12,16,80,4206723259519452672000
2,24,13,14,80,979320687644651761292083200
2,24,14,12,80,37425006099304221158840785305600
2,24,15,10,80,448680448266249510597766480779018240
2,24,16,8,80,1879079503865865370328150747750832537600
2,24,17,6,80,2204361709494985103849210492230627963699200
2,24,18,4,80,482097643008518031047411432998265157247303680
2,24,19,2,80,17251110400547069236423677776420288463410036736
2,24,20,0,80,89426223320955260624017164373227917534665113600
2,24,12,18,84,207739420223182848000
2,24,13,16,84,66707620706706690686976000
2,24,14,14,84,3979821708694369559074288435200
2,24,15,12,84,81722740845267455220926345128181760
2,24,16,10,84,674216853390056430511549517068888965120
2,24,17,8,84,1977325997666662602137000866965017308692480
2,24,18,6,84,1271129132744280993522425815574156449450819584
2,24,19,4,84,132696215055178037207712358840240472534751903744
2,24,20,2,84,2298657004421954617457437446221048380884170833920
2,24,21,0,84,5824477474644007436260078322382160852351451136000
2,24,12,20,88,6924647340772761600
2,24,13,18,88,3065541377760101560320000
2,24,14,16,88,288047864578440530681826508800
2,24,15,14,88,9990359068088648277611465555312640
2,24,16,12,88,154199166470585981135942460844403589120
2,24,17,10,88,1028389603195496681422802239327307531550720
2,24,18,8,88,1918404010006643973624605116826536644119101440
2,24,19,6,88,584722045728181881422146359510119662492701425664
2,24,20,4,88,28081863103952545175049622546985999476723223101440
2,24,21,2,88,228808328894470764538418975214047043255846882508800
2,24,22,0,88,260669092344270242926123017420796892035499950080000
2,24,12,22,92,139891865470156800
2,24,13,20,92,88277456047531393843200
2,24,14,18,92,13680971207512920766277222400
2,24,15,16,92,813276947205200340328118306734080
2,24,16,14,92,22958335420864295691886398408165949440
2,24,17,12,92,321592909746521775124805801720674045132800
2,24,18,10,92,1631533261747379377144300290757238090341810176
2,24,19,8,92,1516753103389774948381813504404621375556515004416
2,24,20,6,92,200727372383944333253555789268257031600661982085120
2,24,21,4,92,4303236629665845415975525371002457320651480471961600
2,24,22,2,92,15272308503898345351915782011670288860690811715584000
2,24,23,0,92,6077269961577765797802315739656620708958107074560000
2,24,12,24,96,1295295050649600
2,24,13,22,96,1359206635508718796800
2,24,14,20,96,394547700709757321433907200
2,24,15,18,96,42639620962120581178816911114240
2,24,16,16,96,2224528997999778406997138372433018880
2,24,17,14,96,62433176559500029442496173177101992591360
2,24,18,12,96,776156195206350362124479503574277537147125760
2,24,19,10,96,2246598520645329837884635000827444656395366957056
2,24,20,8,96,866097013549504864426061445452628923391981524090880
2,24,21,6,96,47769821607278773357465047806775206559796470743040000
2,24,22,4,96,425905491659786518019123499699615253942565414633472000
2,24,23,2,96,514525360058916121537029925905492232275520798064640000
2,24,13,24,100,7181115760801382400
2,24,14,22,100,5832645843238098812928000
2,24,15,20,100,1336296702583842884761225789440
2,24,16,18,100,136626935737392382266509796311040000
2,24,17,16,100,7619911328262832839670975770367906283520
2,24,18,14,100,212535977105405140238437417064283302038339584
2,24,19,12,100,1813171288244034861439399950304158225277107830784
2,24,20,10,100,2203192738859734358765712792942113714640707156705280
2,24,21,8,100,326321878878729857901438809141947404314472604709683200
2,24,22,6,100,7026142281277300307638707966856493730561234674122752000
2,24,23,4,100,20493254519025069911105631529636712973637464631541760000
2,24,14,24,104,27113841365425790976000
2,24,15,22,104,21235215143505773526232596480
2,24,16,20,104,4975725808816494502857212575088640
2,24,17,18,104,576023545562683995174979884029218652160
2,24,18,16,104,34511281728702120938676883998063491977052160
2,24,19,14,104,775957879862301619969084135833605005742507556864
2,24,20,12,104,3141373402002294034172642232338943937427887808839680
2,24,21,10,104,1358480787077749361289384122686498095987879774781440000
2,24,22,8,104,72398602353105216602573926423229985970112815838527488000
2,24,23,6,104,482833314643802312146193498395047095492377868438077440000
2,24,15,24,108,107042860509027134275584000
2,24,16,22,108,92354701464836923387510542827520
2,24,17,20,108,25501583497145202985280435175555072000
2,24,18,18,108,3330791002510383842377289209736460968656896
2,24,19,16,108,180184557681266153506922493128595043778744549376
2,24,20,14,108,2352636088948054067840048130922151198176528595681280
2,24,21,12,108,3319055521112191286846654502040236202848460202626252800
2,24,22,10,108,467930798764911716098252575859451835843294797500514304000
2,24,23,8,108,7192720255371325654315650236473898833935107892738785280000
2,24,16,24,112,572078399446216525977354240000
2,24,17,22,112,576231998058430139764867048302182400
2,24,18,20,112,183178185733847616535101172506237339697152
2,24,19,18,112,23238782506342221124922267052737319874892660736
2,24,20,16,112,878189248289251411439456334643636021502203637268480
2,24,21,14,112,4472637577623088587652211590414913490168238708673740800
2,24,22,12,112,1854275183875021090744354450217682731913464829249060864000
2,24,23,10,112,68842981329120198471980276351826217641592158409331834880000
2,24,17,24,116,4513579233530296735741051404288000
2,24,18,22,116,5065139719534506983961550276846524825600
2,24,19,20,116,1627444393396735608648370269371681563075411968
2,24,20,18,116,164231315569106296749698692594625816693139151257600
2,24,21,16,116,3049902472212033012808179100935503618439518662479052800
2,24,22,14,116,4301385172599381109863580169190001038752755062153412608000
2,24,23,12,116,419060369272112039634534068035873576203813734754287616000000
2,24,18,24,120,48786454917185724956597556999094272000
2,24,19,22,120,55371912556136121227347993590821919129600000
2,24,20,20,120,15406271297274596478537459766277539629709802864640
2,24,21,18,120,957936154487553900540595302767736810589882355495731200
2,24,22,16,120,5421435622996700056445890022780051208435014034536792064000
2,24,23,14,120,1572877199828049809516232604729161539032291522921428418560000
2,24,19,24,124,639963379418825309817529345500197683200000
2,24,20,22,124,661580403880617272860121377144383428515332096000
2,24,21,20,124,132873358650353053366416618101891727139575567482880000
2,24,22,18,124,3312771401698791838493320702640829445122549605027807232000
2,24,23,16,124,3447339603774813069578109320115961456899657497572571873280000
2,24,20,24,128,9117601822884710208136472560269288013824000000
2,24,21,22,128,7617718610988304188357957382175012484784796467200000
2,24,22,20,128,832191934144794576348895195965487015342481535368429568000
2,24,23,18,128,4037633548862860659264536614801218271841886327481124782080000
2,24,21,24,132,126224597678097616197522274158216573276389376000000
2,24,22,22,132,71809623871101118126875788361723604603483717632000000000
2,24,23,20,132,2173205486832253247324764897969726370061707349237946122240000
2,24,22,24,136,1460860408345085399783324174159332466057281536000000000
2,24,23,22,136,399344347947105916760415235261986259173201008671064064000000
2,24,23,24,140,10344929660446727225718574206144479198767905295564800000000
2,25,13,0,52,877990993826639870275338240000
2,25,13,2,56,1398281953131315348957020160000
2,25,14,0,56,2070653959840747470057357705216000
2,25,13,4,60,993611207005456643315712000000
2,25,14,2,60,4386356289998008679315809566720000
