source_index,source_t,source_g,source_p,source_q,target_t,target_g,target_p,target_q,checked,hit_count,first_hit_perm,best_score,best_c_pi,best_c_gamma_pi,best_c_pi_gamma_inv,best_plus,best_minus,best_g_plus,best_g_minus,best_components
0,42,52,54,54,43,53,55,56,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
0,42,52,54,54,43,53,56,55,720,130,252 253 255 257 254 256,0,56,55,55,190,190,53,53,1
1,42,53,53,53,43,53,55,56,720,5,253 252 255 254 257 256,0,55,56,56,190,190,53,53,1
1,42,53,53,53,43,53,56,55,720,30,252 253 255 254 257 256,0,56,55,55,190,190,53,53,1
2,42,52,54,54,43,53,55,56,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
2,42,52,54,54,43,53,56,55,720,130,252 253 255 257 254 256,0,56,55,55,190,190,53,53,1
3,42,53,53,53,43,53,55,56,720,5,253 252 255 254 257 256,0,55,56,56,190,190,53,53,1
3,42,53,53,53,43,53,56,55,720,30,252 253 255 254 257 256,0,56,55,55,190,190,53,53,1
4,42,52,54,54,43,53,55,56,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
4,42,52,54,54,43,53,56,55,720,130,252 253 255 257 254 256,0,56,55,55,190,190,53,53,1
5,42,53,53,53,43,53,55,56,720,5,253 252 255 254 257 256,0,55,56,56,190,190,53,53,1
5,42,53,53,53,43,53,56,55,720,30,252 253 255 254 257 256,0,56,55,55,190,190,53,53,1
6,42,52,54,54,43,53,55,56,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
6,42,52,54,54,43,53,56,55,720,130,252 253 255 257 254 256,0,56,55,55,190,190,53,53,1
7,42,53,53,53,43,53,55,56,720,5,253 252 255 254 257 256,0,55,56,56,190,190,53,53,1
7,42,53,53,53,43,53,56,55,720,30,252 253 255 254 257 256,0,56,55,55,190,190,53,53,1
8,42,52,54,54,43,53,55,56,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
8,42,52,54,54,43,53,56,55,720,130,252 253 255 257 254 256,0,56,55,55,190,190,53,53,1
9,42,53,53,53,43,53,55,56,720,5,253 252 255 254 257 256,0,55,56,56,190,190,53,53,1
9,42,53,53,53,43,53,56,55,720,30,252 253 255 254 257 256,0,56,55,55,190,190,53,53,1
10,42,52,54,54,43,53,55,56,720,114,252 254 255 257 253 256,0,55,56,56,190,190,53,53,1
10,42,52,54,54,43,53,56,55,720,130,252 253 255 257 254 256,0,56,55,55,190,190,53,53,1
11,42,53,53,53,43,53,55,56,720,5,253 252 255 254 257 256,0,55,56,56,190,190,53,53,1
11,42,53,53,53,43,53,56,55,720,30,252 253 255 254 257 256,0,56,55,55,190,190,53,53,1
